epoch;classification_accuracy;classification_categorical_accuracy;classification_loss;loss;regression_accuracy;regression_categorical_accuracy;regression_loss;val_classification_accuracy;val_classification_categorical_accuracy;val_classification_loss;val_loss;val_regression_accuracy;val_regression_categorical_accuracy;val_regression_loss
31;0.8150458;0.8150458;0.0191698;0.11660624694637954;0.107893184;0.107893184;0.097436376;0.7430035471916199;0.7430035471916199;0.0025739942211657763;0.11165719479322433;0.0963873639702797;0.0963873639702797;0.10908319801092148
32;0.80693895;0.80693895;0.016926868;0.11294410588219762;0.10833933;0.10833933;0.09601728;0.94390469789505;0.94390469789505;0.05124906450510025;0.28442102670669556;0.17392408847808838;0.17392408847808838;0.2331719696521759
33;0.7946346;0.7946346;0.014489776;0.10547316477447748;0.1076032;0.1076032;0.090983465;0.9498923420906067;0.9498923420906067;0.040580250322818756;0.2992365062236786;0.2083636224269867;0.2083636224269867;0.25865626335144043
34;0.7865066;0.7865066;0.012226797;0.1000873522143811;0.10759632;0.10759632;0.087860554;0.7239245772361755;0.7239245772361755;0.0019453869899734855;0.05382559821009636;0.12290548533201218;0.12290548533201218;0.051880210638046265
35;0.7811478;0.7811478;0.011076049;0.0976979842511937;0.108132176;0.108132176;0.08662193;0.7676554322242737;0.7676554322242737;0.0013999384827911854;0.02080117166042328;0.04811796545982361;0.04811796545982361;0.01940123364329338
36;0.7742176;0.7742176;0.010410043;0.09318866366986185;0.107338294;0.107338294;0.08277858;0.8724302053451538;0.8724302053451538;0.020842960104346275;0.12752434611320496;0.09547873586416245;0.09547873586416245;0.10668138414621353
37;0.769294;0.769294;0.009701397;0.09243294124025851;0.107761025;0.107761025;0.08273145;0.7813175916671753;0.7813175916671753;0.01784699037671089;0.13271085917949677;0.17466962337493896;0.17466962337493896;0.11486386507749557
38;0.76865464;0.76865464;0.007943302;0.08202605763729662;0.10729779;0.10729779;0.07408273;0.9433618783950806;0.9433618783950806;0.035193704068660736;0.3179487884044647;0.13835224509239197;0.13835224509239197;0.2827550768852234
39;0.75509924;0.75509924;0.008149568;0.08041997913457453;0.106843345;0.106843345;0.072270356;0.9269714951515198;0.9269714951515198;0.041359223425388336;0.2826738655567169;0.15980298817157745;0.15980298817157745;0.24131463468074799
40;0.7524555;0.7524555;0.0069550695;0.07853466297592968;0.10656324;0.10656324;0.07157964;0.8214768171310425;0.8214768171310425;0.025917014107108116;0.20475320518016815;0.11583678424358368;0.11583678424358368;0.17883619666099548
41;0.7421786;0.7421786;0.0074541005;0.07412717107776552;0.10734174;0.10734174;0.06667305;0.806158185005188;0.806158185005188;0.012715157121419907;0.12544319033622742;0.16519421339035034;0.16519421339035034;0.11272802948951721
42;0.74046576;0.74046576;0.006169222;0.07125763823371381;0.10727872;0.10727872;0.065088406;0.6801283955574036;0.6801283955574036;0.000944753410294652;0.03775690123438835;0.12565001845359802;0.12565001845359802;0.03681214898824692
43;0.73842853;0.73842853;0.0060694898;0.07055540741235018;0.10675054;0.10675054;0.064485915;0.7665650844573975;0.7665650844573975;0.0008791264845058322;0.04504593089222908;0.04405707120895386;0.04405707120895386;0.04416680335998535
44;0.74122804;0.74122804;0.0063010524;0.06866524238232523;0.107078336;0.107078336;0.06236415;0.7019123435020447;0.7019123435020447;0.001199736725538969;0.07245708256959915;0.0948333740234375;0.0948333740234375;0.0712573453783989
45;0.72694105;0.72694105;0.0054675536;0.06624647417012602;0.107218035;0.107218035;0.060778897;0.9311954975128174;0.9311954975128174;0.01808716170489788;0.19809934496879578;0.17589744925498962;0.17589744925498962;0.18001218140125275
46;0.72080815;0.72080815;0.0054021263;0.06271280873194338;0.106328934;0.106328934;0.05731069;0.9532706141471863;0.9532706141471863;0.02362629398703575;0.2655394673347473;0.20533017814159393;0.20533017814159393;0.24191316962242126
47;0.7267336;0.7267336;0.0055527557;0.06405225828383118;0.10611804;0.10611804;0.058499493;0.694379985332489;0.694379985332489;0.000744194258004427;0.030692139640450478;0.11500503122806549;0.11500503122806549;0.029947945848107338
48;0.7268722;0.7268722;0.005245992;0.06427738250372932;0.10613591;0.10613591;0.059031386;0.7262380719184875;0.7262380719184875;0.00039069948252290487;0.014705931767821312;0.047158073633909225;0.047158073633909225;0.014315232634544373
49;0.7267367;0.7267367;0.003663842;0.03682066834834404;0.10643618;0.10643618;0.033156842;0.8418721556663513;0.8418721556663513;0.006942762061953545;0.037643373012542725;0.09506402164697647;0.09506402164697647;0.03070060908794403
